,place_id,name,formatted_phone_number,opening_hours,website
10,ChIJ8yOSMg04yUwRTd6UwKj7Zxw,Zento Sushi,(514) 425-0302,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1430'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1115'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1430'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1430'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 11:15 AM – 8:00 PM', 'Wednesday: 2:30 – 8:00 PM', 'Thursday: 11:30 AM – 2:00 PM, 4:00 – 9:00 PM', 'Friday: 11:30 AM – 2:00 PM, 4:00 – 9:00 PM', 'Saturday: 2:30 – 9:00 PM', 'Sunday: 2:30 – 8:00 PM']}",http://www.zentosushi.com/
11,ChIJA15wFkQ4yUwRilDcZZIoJo8,Restaurant Le Surcouf,(514) 457-6699,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1500'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '1500'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '1500'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '1500'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 3:00 – 6:00 PM', 'Friday: 3:00 – 6:00 PM', 'Saturday: 3:00 – 6:00 PM', 'Sunday: 3:00 – 6:00 PM']}",https://www.restaurantlesurcouf.com/
12,ChIJI5fUwUY4yUwRRHqL7LwbBFI,Bellevue Resto-Grill,(514) 457-9175,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 10:00 PM']}",http://bellevueresto.com/
13,ChIJuQDmpWs4yUwRdC3p46K7TBg,Sushi Perrot,(514) 425-1538,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 11:00 AM – 7:00 PM', 'Wednesday: 11:00 AM – 7:00 PM', 'Thursday: 11:00 AM – 7:00 PM', 'Friday: 11:00 AM – 7:00 PM', 'Saturday: 11:00 AM – 7:00 PM', 'Sunday: 11:00 AM – 7:00 PM']}",http://www.sushiperrot.ca/
14,ChIJLXhlCf9HyUwRKSGB1_26A_w,Restaurant L'Etoile-Pincourt,(514) 453-3000,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 8:00 AM – 9:00 PM']}",http://www.letoiledepincourt.com/
15,ChIJGYePzRQ4yUwRz--l1mdoRf4,Smoke Meat Pete,(514) 425-6068,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 9:00 AM – 7:00 PM', 'Friday: 9:00 AM – 7:00 PM', 'Saturday: 9:00 AM – 7:00 PM', 'Sunday: 9:00 AM – 7:00 PM']}",https://www.smokemeatpete.com/
16,ChIJkRAy4Ww4yUwRribVrhi5OHM,Station Des Sports - L'Île-Perrot,(514) 453-0594,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 10:00 AM – 12:00 AM', 'Tuesday: 10:00 AM – 12:00 AM', 'Wednesday: 10:00 AM – 12:00 AM', 'Thursday: 10:00 AM – 12:00 AM', 'Friday: 10:00 AM – 12:00 AM', 'Saturday: 8:00 AM – 12:00 AM', 'Sunday: 8:00 AM – 12:00 AM']}",http://stationdessports.com/
17,ChIJv-sUkXI4yUwRVx6eSp-zbCs,Restaurant La Belle Province,(514) 453-4129,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0530'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '0530'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0530'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0530'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0530'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0530'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0530'}}], 'weekday_text': ['Monday: 5:30 AM – 9:30 PM', 'Tuesday: 5:30 AM – 10:00 PM', 'Wednesday: 5:30 AM – 10:00 PM', 'Thursday: 5:30 AM – 10:00 PM', 'Friday: 5:30 AM – 11:00 PM', 'Saturday: 5:30 AM – 10:00 PM', 'Sunday: 5:30 AM – 10:00 PM']}",
18,ChIJDfJlG0c4yUwR2nJghNLblUI,Restaurant Violet Angel,(514) 457-7957,,http://www.violetangel.ca/
19,ChIJsVtvIHo4yUwRsZfF5hXkMm4,Aki Sushi Bar,(514) 425-3379,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}",https://akisushi.ca/
20,ChIJ57Wc42s4yUwRWQhLtV2zEv0,Souvlaki Authentique Ile Perrot,(514) 453-0777,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: 11:00 AM – 9:00 PM']}",http://www.souvlakiauthentique.com/
21,ChIJxecSuOE3yUwRnkeTeVkLO98,Le Charleville,(450) 424-2990,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1700'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1700'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:00 – 10:00 PM', 'Friday: 5:00 – 10:00 PM', 'Saturday: 5:00 – 10:00 PM', 'Sunday: 5:00 – 10:00 PM']}",http://www.lecharleville.com/
22,ChIJmYXWznI4yUwRFptDwj2uyLE,Amir,(514) 425-2647,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:30 PM', 'Thursday: 11:00 AM – 9:30 PM', 'Friday: 11:00 AM – 9:30 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: 11:00 AM – 9:00 PM']}",http://www.restoamir.com/
23,ChIJS39QYhlIyUwRhG_Me6qpOnA,Restaurant Dorion,(450) 455-3929,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1600'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1600'}}], 'weekday_text': ['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 4:00 – 9:00 PM', 'Sunday: 4:00 – 9:00 PM']}",
24,ChIJL7kj_BxIyUwR20SP8SInhgM,Restaurant Chez Lam,(450) 455-2600,"{'open_now': False, 'periods': [{'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1600'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 4:00 – 8:00 PM', 'Friday: 4:00 – 8:00 PM', 'Saturday: 4:00 – 8:00 PM', 'Sunday: Closed']}",http://chez-lam.edan.io/
25,ChIJEZHx4TQ2yUwR2Zo_I8HfxMk,Souvlaki Bar (Vaudreuil),(450) 319-0120,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1130'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 11:30 AM – 8:30 PM', 'Thursday: 11:30 AM – 8:30 PM', 'Friday: 11:30 AM – 8:30 PM', 'Saturday: 11:30 AM – 8:30 PM', 'Sunday: 11:30 AM – 8:30 PM']}",http://www.souvlakibar.ca/
26,ChIJc_47mEY4yUwRb70AIstHEsA,Cunningham's Pub,(514) 457-0080,"{'open_now': False, 'periods': [{'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1500'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1500'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1500'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1500'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1500'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 3:00 – 8:00 PM', 'Wednesday: 3:00 – 8:00 PM', 'Thursday: 3:00 – 8:00 PM', 'Friday: 3:00 – 8:00 PM', 'Saturday: 3:00 – 8:00 PM', 'Sunday: Closed']}",http://www.cunninghamspub.com/
27,ChIJq6p-v0Y4yUwRE9ABVrvR-sU,Klondike Premium Smokehouse,(514) 457-6488,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1200'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 12:00 – 8:00 PM', 'Friday: 12:00 – 8:00 PM', 'Saturday: 12:00 – 8:00 PM', 'Sunday: 12:00 – 8:00 PM']}",
28,ChIJ7c_AwUg2yUwRevHkFBj5M_A,Restaurant Olivia,(450) 510-3090,,http://www.restaurantolivia.ca/
29,ChIJpXEW9QA5yUwRMsj2YPsZE-8,Pizza Pizza Ile-perrot,(514) 737-1111,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 6, 'time': '0100'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 0, 'time': '0100'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 11:00 AM – 11:00 PM', 'Tuesday: 11:00 AM – 11:00 PM', 'Wednesday: 11:00 AM – 11:00 PM', 'Thursday: 11:00 AM – 11:00 PM', 'Friday: 11:00 AM – 1:00 AM', 'Saturday: 11:00 AM – 1:00 AM', 'Sunday: 11:00 AM – 11:00 PM']}",http://www.pizzapizza.ca/
30,ChIJN0b2EwA4yUwRzkQGCjIfN2I,Benny&Co.,(438) 315-4449,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 11:00 AM – 8:30 PM', 'Tuesday: 11:00 AM – 8:30 PM', 'Wednesday: 11:00 AM – 8:30 PM', 'Thursday: 11:00 AM – 8:30 PM', 'Friday: 11:00 AM – 8:30 PM', 'Saturday: 11:00 AM – 8:30 PM', 'Sunday: 11:00 AM – 8:30 PM']}",https://www.benny-co.com/rotisseries/pincourt/
